size,width,threads,cycles,cycles_t1,speedup,outdir
64,2,1,2308481,2308481,1.0,results/A15/s64_w2_t1
64,2,2,1282419,2308481,1.8000988756404888,results/A15/s64_w2_t2
64,2,4,768565,2308481,3.003624937383305,results/A15/s64_w2_t4
64,2,8,515053,2308481,4.482026121583604,results/A15/s64_w2_t8
64,2,16,391465,2308481,5.89703038585825,results/A15/s64_w2_t16
64,2,32,341535,2308481,6.759134495732502,results/A15/s64_w2_t32
64,4,1,1365568,1365568,1.0,results/A15/s64_w4_t1
64,4,2,801594,1365568,1.703565645451438,results/A15/s64_w4_t2
64,4,4,520290,1365568,2.62462857252686,results/A15/s64_w4_t4
64,4,8,381832,1365568,3.5763581889417337,results/A15/s64_w4_t8
64,4,16,318392,1365568,4.288951983718184,results/A15/s64_w4_t16
64,4,32,302483,1365568,4.514528089181871,results/A15/s64_w4_t32
64,8,1,1334530,1334530,1.0,results/A15/s64_w8_t1
64,8,2,785008,1334530,1.7000208915068382,results/A15/s64_w8_t2
64,8,4,510238,1334530,2.6155049212328363,results/A15/s64_w8_t4
64,8,8,376396,1334530,3.545547774152754,results/A15/s64_w8_t8
64,8,16,315224,1334530,4.23359261985128,results/A15/s64_w8_t16
64,8,32,299612,1334530,4.454194091024392,results/A15/s64_w8_t32
